Time(long)     ml  xy  press   RR   ir1
1544955079516  71  98  11448   0.78   312260
1544955079708  71  98  11444   0.78   327006
1544955079934  71  98  11450   0.78   328778
1544955080109  71  98  11448   0.78   305770
1544955080328  72  98  11448   0.75   312823
1544955080515  72  98  11446   0.75   328062
1544955080704  72  98  11448   0.75   314650
1544955080922  72  98  11447   0.76   310017
1544955081096  72  98  11448   0.76   316671
1544955081371  72  98  11447   0.76   330225
1544955081502  72  98  11449   0.76   312427
1544955081779  73  98  11447   0.78   314759
1544955081933  73  98  11444   0.78   321641
1544955082144  73  98  11447   0.78   333889
1544955082313  73  98  11448   0.78   314636
1544955082547  74  98  11448   0.8   317105
1544955082729  74  98  11444   0.8   323061
1544955082942  74  98  11445   0.8   335061
1544955083127  74  98  11445   0.8   309593
1544955083345  74  98  11448   0.76   314964
1544955083562  74  98  11448   0.76   323558
1544955083756  74  98  11448   0.76   334717
1544955083939  74  98  11447   0.76   304882
1544955084151  75  98  11448   0.77   309085
1544955084336  75  98  11448   0.77   319814
1544955084557  75  98  11447   0.77   329816
1544955084737  75  98  11450   0.77   300883
1544955084971  75  98  11449   0.78   305535
1544955085161  75  98  11448   0.78   317333
1544955085373  75  98  11446   0.78   323680
1544955085547  75  98  11448   0.78   298246
1544955085798  76  98  11446   0.77   303221
1544955085952  76  98  11447   0.77   315993
1544955086181  76  98  11448   0.77   307680
1544955086356  76  98  11448   0.77   295070
1544955086581  76  98  11449   0.76   300937
1544955086764  76  98  11449   0.76   313482
